tracker,model,gt_total,pred_total,total_ae,total_count_accuracy,sum_class_ae,class_aware_accuracy,class_mae,unique_track_ids,average_track_length_frames,total_track_gaps,average_track_gap_frames,class_transitions,unstable_class_tracks,possible_fragmentation_events,processing_fps,processing_time_s
ByteTrack,YOLOv8s,199,201,2,98.99,20,89.95,4.0,806,84.73,2233,2.77,1224,242,413,6.75,795.95
BoT-SORT,YOLOv8s,199,201,2,98.99,20,89.95,4.0,767,89.37,1996,2.6,1066,216,361,6.0,894.64
