class,manual_count,system_count,signed_error,absolute_error,error_type,accuracy_pct
motorcycle,2,0,-2,2,undercount,0.0
car,178,147,-31,31,undercount,82.5843
bus,2,37,35,35,overcount,-1650.0
truck,17,25,8,8,overcount,52.9412
bicycle,0,0,0,0,exact,100.0
TOTAL,199,209,10,10,overcount,94.9749
